documento,fecha_documento,funcion,fuente_consultada,archivo_local,estado,fecha_verificacion
"Resolución No. 076","2026-03-24","Convoca y establece reglas del proceso","https://meritoconstruyendoexcelencia.com.co/statics/normativas_especificas/Resolucio%CC%81n%20No.%20076%20de%2024%20de%20marzo%20de%202026.pdf","pdf/resolucion_076_2026.pdf","PDF oficial descargado; revisión visual de experiencia pendiente porque no contiene texto extraíble","2026-05-26"
"Resolución No. 108","2026-04-23","Corrige errores formales y modifica convocatorias","https://meritoconstruyendoexcelencia.com.co/statics/normativas_especificas/RESOLUCION%20108%20DE%2023%20DE%20ABRIL%20DE%202026.pdf","pdf/resolucion_108_2026.pdf","Enlace oficial identificado; contenido clave revisado; descarga pendiente","2026-05-26"
"Resolución No. 133","2026-05-20","Modifica y adiciona la Resolución No. 076","https://meritoconstruyendoexcelencia.com.co/statics/normativas_especificas/RESOLUCIO%CC%81N%20No.%20133%20(20%20MAYO%202026).pdf","pdf/resolucion_133_2026.pdf","Enlace oficial identificado; descarga y lectura prioritarias pendientes","2026-05-26"
"Constitución Política de Colombia","1991","Marco constitucional identificado por el portal","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificada en portal; enlace directo pendiente de capturar","2026-05-26"
"Decreto Ley 262","2000","Régimen especial de carrera y organización PGN","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificado en portal; enlace directo pendiente de capturar","2026-05-26"
"Decreto 263","2000","Requisitos de empleos PGN","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificado en portal; enlace directo pendiente de capturar","2026-05-26"
"Decreto 264","2000","Clasificación, nomenclatura y funciones de empleos PGN","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificado en portal; enlace directo pendiente de capturar","2026-05-26"
"Decreto Ley 265","2000","Planta de personal PGN","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificado en portal; enlace directo pendiente de capturar","2026-05-26"
"Decreto 1851","2021","Modificaciones de estructura/planta y régimen interno","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificado en portal; enlace directo pendiente de capturar","2026-05-26"
"Ley 909","2004","Normas generales de empleo público y carrera administrativa","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificada en portal; enlace directo pendiente de capturar","2026-05-26"
"Manual Específico de Funciones por Competencias Laborales y Requisitos","","Verificación de disciplinas, funciones y requisitos","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificado en portal; descarga prioritaria pendiente","2026-05-26"
"Resolución No. 056","2026-02-17","Modifica y adiciona el Manual Específico","https://meritoconstruyendoexcelencia.com.co/#/convocatorias/normatividad","","Identificada en portal; descarga prioritaria pendiente","2026-05-26"
